id,employee__id,department,performance_score,year_with_company,salary
1,1,IT,93.07,44,180246.42
2,2,Finance,20.09,15,53251.31
3,3,IT,30.18,49,25245.2
4,4,HR,65.75,41,187780.37
5,5,Operations,44.63,48,100921.75
6,6,HR,2.56,15,196156.86
7,7,IT,92.98,26,101742.0
8,8,IT,41.77,21,133791.03
9,9,IT,33.48,32,135595.01
10,10,HR,29.24,28,128401.03
11,11,HR,23.11,11,134313.82
12,12,IT,50.68,20,151533.8
13,13,IT,18.66,27,127437.34
14,14,Finance,37.71,4,74315.06
15,15,Finance,57.29,1,93386.26
16,16,Marketing,92.45,50,199221.04
17,17,IT,11.93,27,69319.55
18,18,IT,60.45,38,181740.67
19,19,Finance,51.28,6,178456.86
20,20,Operations,18.6,28,166245.3
21,21,IT,61.9,19,76531.42
22,22,Finance,80.69,46,193373.0
23,23,Finance,67.42,43,63708.74
24,24,Marketing,18.6,2,131803.65
25,25,Finance,21.6,49,121473.21
26,26,HR,57.61,36,149640.52
27,27,Marketing,84.93,24,49888.43
28,28,Finance,5.37,35,96432.23
29,29,Marketing,64.94,46,25714.96
30,30,HR,8.4,5,34756.01
31,31,IT,18.58,41,25447.57
32,32,HR,27.76,4,109702.2
33,33,IT,51.16,13,165257.87
34,34,Finance,2.55,19,125287.27
35,35,Operations,35.69,45,187990.53
36,36,Marketing,93.76,29,112399.68
37,37,IT,63.75,20,191182.33
38,38,HR,63.97,15,89077.49
39,39,Finance,73.39,44,107771.44
40,40,Finance,86.12,15,122773.76
41,41,Marketing,78.21,12,99132.21
42,42,Finance,24.7,37,174117.12
43,43,HR,48.77,17,144745.41
44,44,Operations,50.53,39,59666.67
45,45,IT,82.62,14,116437.59
46,46,Finance,12.68,17,189316.4
47,47,HR,80.96,36,89023.67
48,48,Finance,47.46,43,74126.88
49,49,Marketing,8.97,17,109738.61
50,50,HR,90.13,50,145233.75
51,51,Operations,2.06,38,94765.2
52,52,Operations,0.34,7,114838.28
53,53,Operations,21.8,9,53979.16
54,54,Finance,12.81,43,82259.7
55,55,IT,84.72,0,38060.53
56,56,Finance,15.02,2,94146.19
57,57,Operations,58.54,27,29720.52
58,58,Operations,78.63,7,189300.18
59,59,HR,2.04,18,30033.15
60,60,Operations,76.17,13,133467.23
61,61,Finance,35.19,5,146798.39
62,62,IT,45.97,42,102715.29
63,63,Finance,22.63,43,89790.89
64,64,IT,20.35,33,160905.87
65,65,Marketing,93.91,49,69540.77
66,66,Operations,5.16,10,48002.41
67,67,Marketing,55.71,7,192527.93
68,68,Marketing,98.77,5,134640.88
69,69,Operations,0.03,36,105043.47
70,70,Finance,5.4,7,133134.54
71,71,Finance,92.11,13,178605.11
72,72,Finance,97.97,26,106816.38
73,73,IT,50.89,29,134686.08
74,74,Marketing,0.21,24,104727.27
75,75,Marketing,94.18,35,113843.55
76,76,HR,82.01,13,180422.6
77,77,HR,77.44,40,62809.54
78,78,Finance,65.92,39,128302.47
79,79,Operations,70.52,25,99588.56
80,80,Marketing,33.8,26,134746.77
81,81,IT,55.73,50,97640.46
82,82,Marketing,90.07,44,88136.28
83,83,Operations,74.55,26,58699.92
84,84,Operations,19.44,6,63428.77
85,85,Operations,9.59,48,82189.1
86,86,Finance,30.48,11,135529.97
87,87,Finance,0.93,5,154939.47
88,88,Marketing,30.5,41,109316.47
89,89,Marketing,53.58,49,49312.55
90,90,Finance,50.31,45,38738.85
91,91,Operations,31.7,14,93978.1
92,92,Operations,96.37,28,39994.22
93,93,Marketing,34.48,24,46316.06
94,94,Operations,43.62,33,167656.75
95,95,IT,98.7,46,147182.54
96,96,Operations,52.52,8,180262.6
97,97,Marketing,10.85,42,71389.56
98,98,IT,97.39,48,167874.36
99,99,HR,87.1,37,72090.63
100,100,Marketing,87.16,19,134233.7
101,101,IT,9.84,15,155917.26
102,102,Operations,33.7,8,196019.02
103,103,Marketing,75.1,34,126158.66
104,104,IT,80.64,50,173337.72
105,105,Operations,31.97,29,177341.78
106,106,Marketing,5.66,41,180363.39
107,107,Finance,97.27,36,68254.0
108,108,Operations,36.63,34,149656.44
109,109,HR,46.04,40,180566.22
110,110,HR,97.47,11,44786.38
111,111,Marketing,64.97,7,195699.84
112,112,HR,19.63,8,142499.26
113,113,Marketing,63.92,18,151198.52
114,114,HR,35.22,43,39737.51
115,115,Finance,90.83,0,151194.24
116,116,Marketing,84.17,24,155770.55
117,117,HR,65.77,7,29816.37
118,118,HR,25.61,29,95639.12
119,119,Marketing,50.44,22,126248.56
120,120,IT,90.94,9,84070.11
121,121,IT,9.4,22,85583.94
122,122,HR,39.07,24,126028.3
123,123,IT,81.68,4,52016.29
124,124,HR,98.89,44,131744.2
125,125,Finance,40.72,5,24801.73
126,126,HR,52.58,42,198519.22
127,127,Operations,48.52,25,135950.4
128,128,Finance,62.88,8,119218.33
129,129,Marketing,60.66,35,77827.49
130,130,IT,22.44,15,169498.86
131,131,Marketing,52.3,14,135070.61
132,132,Marketing,84.12,48,191208.26
133,133,Marketing,59.81,31,98775.44
134,134,HR,42.84,0,67980.44
135,135,IT,15.52,36,182018.62
136,136,Operations,58.78,39,57090.16
137,137,Operations,43.04,0,28423.47
138,138,HR,23.3,20,99925.7
139,139,Marketing,97.6,15,157260.71
140,140,Finance,84.15,19,145623.77
141,141,Finance,4.24,13,43435.13
142,142,Marketing,65.35,14,168649.74
143,143,Marketing,69.49,22,75052.78
144,144,IT,34.76,38,137935.33
145,145,HR,76.94,2,166636.13
146,146,Finance,18.96,9,120159.42
147,147,Operations,99.43,45,38740.39
148,148,HR,25.57,31,168120.67
149,149,IT,8.48,10,28350.46
150,150,Operations,31.69,1,121626.39
151,151,IT,8.0,42,91276.2
152,152,IT,35.55,31,42533.01
153,153,IT,51.11,2,190494.26
154,154,HR,8.15,21,143626.14
155,155,Finance,82.29,48,43983.8
156,156,IT,30.91,31,45364.44
157,157,Marketing,79.86,25,89334.73
158,158,Marketing,24.42,10,71338.58
159,159,Finance,40.79,9,130173.4
160,160,Finance,8.16,2,102761.19
161,161,HR,36.71,47,172709.1
162,162,HR,83.89,50,149723.13
163,163,Operations,91.47,34,195745.0
164,164,Finance,33.11,46,119793.62
165,165,HR,58.7,24,81504.94
166,166,Finance,28.83,43,176403.53
167,167,Finance,32.18,17,149576.53
168,168,HR,55.71,11,178863.37
169,169,HR,15.45,34,196678.07
170,170,IT,33.99,21,165652.87
171,171,Operations,51.39,40,94006.75
172,172,Marketing,47.55,34,104922.79
173,173,HR,45.13,0,103370.83
174,174,HR,13.0,42,189527.21
175,175,Marketing,64.29,34,190254.55
176,176,HR,38.66,17,90357.37
177,177,IT,11.27,20,168470.96
178,178,HR,73.45,31,137790.37
179,179,Finance,83.56,49,100731.01
180,180,Marketing,40.59,11,103497.53
181,181,HR,24.64,19,110516.74
182,182,Finance,82.69,36,86905.3
183,183,IT,27.67,44,199269.45
184,184,Operations,21.63,34,167231.07
185,185,Operations,31.74,32,192428.3
186,186,Operations,5.23,32,144818.14
187,187,Marketing,21.74,29,131662.07
188,188,Operations,98.17,31,189504.43
189,189,IT,17.51,31,196711.04
190,190,Finance,5.25,25,55316.68
191,191,Finance,1.55,4,170124.82
192,192,IT,77.69,41,29432.69
193,193,Marketing,44.91,24,191068.14
194,194,IT,3.85,36,119230.54
195,195,Marketing,92.21,3,94732.47
196,196,IT,20.97,25,138239.15
197,197,HR,3.96,40,171686.47
198,198,Operations,11.43,18,44210.29
199,199,Finance,1.0,30,54755.44
200,200,Operations,68.83,45,71011.79
201,201,Marketing,36.24,37,41486.36
202,202,Finance,70.43,6,83777.79
203,203,Operations,87.44,21,76131.87
204,204,IT,79.85,0,136645.94
205,205,HR,35.68,48,148706.57
206,206,Marketing,11.08,4,114769.78
207,207,HR,33.89,50,173422.1
208,208,Finance,56.09,14,139198.76
209,209,HR,22.56,3,44241.61
210,210,Marketing,98.74,29,136439.71
211,211,Marketing,28.32,23,174729.24
212,212,HR,80.1,1,109462.59
213,213,Marketing,55.23,46,143070.17
214,214,Marketing,78.72,0,102321.23
215,215,Marketing,34.76,14,179114.49
216,216,Operations,70.72,2,62469.63
217,217,HR,52.1,47,172870.11
218,218,IT,67.95,43,74338.12
219,219,Finance,10.03,28,56093.5
220,220,IT,45.98,31,24986.57
221,221,Marketing,40.32,3,198773.91
222,222,IT,42.41,17,80141.35
223,223,IT,53.2,4,46529.31
224,224,Operations,93.16,32,24488.25
225,225,Marketing,57.82,5,93882.83
226,226,Marketing,83.05,5,49787.0
227,227,Marketing,13.84,17,89438.26
228,228,IT,66.83,24,133054.26
229,229,Marketing,28.26,41,144704.23
230,230,IT,58.21,49,99591.08
231,231,Marketing,44.56,16,124202.2
232,232,Operations,15.09,48,157043.4
233,233,Operations,75.37,24,40882.88
234,234,Marketing,71.62,3,143397.98
235,235,IT,24.35,27,36936.89
236,236,HR,26.23,6,45894.06
237,237,Marketing,22.48,28,100851.75
238,238,Finance,22.55,29,70964.98
239,239,Marketing,24.87,20,76740.78
240,240,Marketing,27.51,25,139969.99
241,241,HR,89.72,50,49905.84
242,242,IT,36.28,11,171146.13
243,243,Operations,30.52,14,80597.71
244,244,Operations,69.79,13,92190.17
245,245,Finance,19.41,2,154555.71
246,246,Operations,52.36,5,96335.23
247,247,Marketing,53.99,26,164786.63
248,248,Finance,15.28,41,193129.29
249,249,Marketing,40.81,1,137517.65
250,250,Finance,65.97,5,85844.21
251,251,HR,58.92,10,28392.46
252,252,Finance,52.58,8,33273.53
253,253,IT,7.18,3,190705.49
254,254,Marketing,75.83,35,152608.11
255,255,Finance,69.42,29,77940.66
256,256,IT,1.53,3,77471.35
257,257,IT,11.71,29,159119.97
258,258,Finance,63.79,48,54900.81
259,259,IT,83.17,26,183573.33
260,260,HR,23.78,50,20478.14
261,261,Operations,66.54,32,55926.01
262,262,IT,53.81,6,59238.13
